Sample	Rep	Cq	log10(Concentration)	Copies
C1T6_DNA	3	12.45	7.271452182	18683239.53
R3T6_DNA	3	33.18	1.413405857	25.90632784
C2T7_DNA	3	14.03	6.827004209	6714353.598
R4T7_DNA	3	16.79	6.047464413	1115486.741
C3T8_DNA	3	13.59	6.949884809	8910145.76
R5T8_DNA	3	16.36	6.166382567	1466839.402
C4T9_DNA	3	13.71	6.917559519	8271028.541
R6T9_DNA	3	14.27	6.756992487	5714687.501
C2T6_DNA	3	12.69	7.204172371	16001930.18
R4T6_DNA	3	NA	NA	NA
C3T7_DNA	3	13.18	7.066827608	11663465.46
R5T7_DNA	3	NA	NA	NA
C4T8_DNA	3	12.91	7.141698955	13857948.87
R6T8_DNA	3	16.14	6.228426705	1692102.648
C5T9_DNA	3	13.54	6.963537209	9194692.484
R7T9_DNA	3	13.40	7.004305723	10099636.03
C3T6_DNA	3	14.12	6.800081212	6310753.434
R5T6_DNA	3	15.64	6.370793407	2348515.369
C4T7_DNA	3	13.23	7.052106161	11274730.28
R6T7_DNA	3	17.12	5.951772933	894896.7551
C5T8_DNA	3	12.70	7.201588034	15906990.96
R7T8_DNA	3	15.56	6.393698564	2475703.119
C6T9_DNA	3	13.18	7.065112899	11617505.82
R8T9_DNA	3	15.34	6.45716984	2865298.288
C4T6_DNA	3	12.91	7.141778725	13860494.49
R6T6_DNA	3	23.63	4.111999465	12941.94247
C5T7_DNA	3	12.88	7.15083488	14152555.94
R7T7_DNA	3	35.57	0.738963141	5.482304336
C6T8_DNA	3	12.92	7.140613503	13823356.32
R8T8_DNA	3	15.15	6.509494851	3232174.886
R1T9_DNA	3	NA	NA	NA
R9T9_DNA	3	13.31	7.029573436	10704673.76
C5T6_DNA	3	13.66	6.930680188	8524721.279
R7T6_DNA	3	14.97	6.559156216	3623733.205
C6T7_DNA	3	13.28	7.038073727	10916256.39
R8T7_DNA	3	NA	NA	NA
R1T8_DNA	3	15.94	6.286144184	1932609.829
R9T8_DNA	3	15.78	6.33147762	2145248.563
R2T9_DNA	3	NA	NA	NA
C5T5_DNA	3	16.41	6.154503982	1427262.916
C6T6_DNA	3	12.64	7.220296338	16607197.01
R8T6_DNA	3	16.08	6.248138368	1770673.013
R1T7_DNA	3	15.32	6.460821671	2889493.159
R9T7_DNA	3	16.28	6.191538738	1554313.925
R2T8_DNA	3	23.04	4.280836523	19091.34489
C1T9_DNA	3	14.15	6.792300365	6198696.382
R3T9_DNA	3	NA	NA	NA
R1T6_DNA	3	16.43	6.146646935	1401673.734
R9T6_DNA	3	15.62	6.376234131	2378122.004
R2T7_DNA	3	16.28	6.190699028	1551311.556
C1T8_DNA	3	13.42	6.999496179	9988405.811
R3T8_DNA	3	15.11	6.520932303	3318427.266
C2T9_DNA	3	13.90	6.862923863	7293296.392
R4T9_DNA	3	38.90	-0.203248025	0.626256108
R2T6_DNA	3	14.04	6.822250552	6641261.063
C1T7_DNA	3	13.23	7.053556018	11312432.94
R3T7_DNA	3	NA	NA	NA
C2T8_DNA	3	13.45	6.990800247	9790395.732
R4T8_DNA	3	20.90	4.884839693	76707.82928
C3T9_DNA	3	13.33	7.024177613	10572498.02
R5T9_DNA	3	NA	NA	NA
_DNA	3	37.13	0.298581458	1.988755793
C1T6_DNA	2	12.56	7.321134233	20947598.09
R3T6_DNA	2	37.54	0.202754598	1.594977637
C2T7_DNA	2	17.70	5.856344302	718363.5728
R4T7_DNA	2	17.81	5.823783645	666474.6655
C3T8_DNA	2	12.99	7.198615595	15798490.57
R5T8_DNA	2	17.54	5.900773125	795743.5457
C4T9_DNA	2	14.38	6.800775266	6320846.826
R6T9_DNA	2	14.43	6.78761536	6132186.576
C2T6_DNA	2	13.33	7.102294388	12655939.43
R4T6_DNA	2	NA	NA	NA
C3T7_DNA	2	13.82	6.961497359	9151606.948
R5T7_DNA	2	19.72	5.281396159	191159.6203
C4T8_DNA	2	13.28	7.115170487	13036784.52
R6T8_DNA	2	28.21	2.86253782	728.6816282
C5T9_DNA	2	13.74	6.985213673	9665262.942
R7T9_DNA	2	14.38	6.802302771	6343117.72
C3T6_DNA	2	14.40	6.795359956	6242520.194
R5T6_DNA	2	15.58	6.459450737	2880386.305
C4T7_DNA	2	13.82	6.961087908	9142982.915
R6T7_DNA	2	NA	NA	NA
C5T8_DNA	2	13.03	7.186277751	15355987.55
R7T8_DNA	2	19.24	5.417880633	261746.349
C6T9_DNA	2	13.62	7.018996397	10447115.53
R8T9_DNA	2	15.76	6.407922462	2558129.125
C4T6_DNA	2	12.93	7.215251672	16415407.64
R6T6_DNA	2	NA	NA	NA
C5T7_DNA	2	13.16	7.150529476	14142607.1
R7T7_DNA	2	NA	NA	NA
C6T8_DNA	2	13.43	7.071492348	11789417.52
R8T8_DNA	2	NA	NA	NA
R1T9_DNA	2	NA	NA	NA
R9T9_DNA	2	13.77	6.976331596	9469599.161
C5T6_DNA	2	13.04	7.184717583	15300921.35
R7T6_DNA	2	NA	NA	NA
C6T7_DNA	2	13.59	7.028413051	10676110.27
R8T7_DNA	2	NA	NA	NA
R1T8_DNA	2	16.13	6.30386767	2013110.761
R9T8_DNA	2	16.43	6.217109284	1648577.179
R2T9_DNA	2	NA	NA	NA
C5T5_DNA	2	18.86	5.524377064	334485.3211
C6T6_DNA	2	12.60	7.310115277	20422799.65
R8T6_DNA	2	29.80	2.409656506	256.8363599
R1T7_DNA	2	29.52	2.489982024	309.0167526
R9T7_DNA	2	NA	NA	NA
R2T8_DNA	2	19.07	5.464874355	291658.3103
C1T9_DNA	2	14.44	6.784161752	6083615.416
R3T9_DNA	2	NA	NA	NA
R1T6_DNA	2	17.58	5.89121284	778417.9458
R9T6_DNA	2	NA	NA	NA
R2T7_DNA	2	NA	NA	NA
C1T8_DNA	2	13.66	7.006189018	10143527.66
R3T8_DNA	2	21.60	4.745116061	55605.28377
C2T9_DNA	2	14.06	6.89381647	7830986.401
R4T9_DNA	2	NA	NA	NA
R2T6_DNA	2	15.37	6.520546845	3315483.301
C1T7_DNA	2	14.93	6.646851918	4434574.118
R3T7_DNA	2	NA	NA	NA
C2T8_DNA	2	13.71	6.991847281	9814027.734
R4T8_DNA	2	33.18	1.445377723	27.88545421
C3T9_DNA	2	13.57	7.033817761	10809802.54
R5T9_DNA	2	NA	NA	NA
_DNA	2	NA	NA	NA
C1T1_DNA	2	14.34	6.638012	4345222.301
R3T1_DNA	2	12.03	7.302524256	20068931.74
C2T2_DNA	2	12.71	7.106666672	12783997.34
R4T2_DNA	2	17.00	5.87247838	745552.7557
C3T3_DNA	2	16.36	6.057514935	1141602.562
R5T3_DNA	2	14.76	6.517621002	3293221.952
C4T4_DNA	2	11.91	7.337055015	21729764.26
R6T4_DNA	2	NA	NA	NA
C6T5_DNA	2	12.14	7.269051809	18580260.94
C2T1_DNA	2	12.21	7.249753353	17772697.66
R4T1_DNA	2	12.15	7.268072428	18538407.64
C3T2_DNA	2	12.65	7.123591489	13292035.41
R5T2_DNA	2	12.10	7.282591858	19168664.6
C4T3_DNA	2	28.44	2.58043014	380.5661356
R6T3_DNA	2	25.05	3.555447207	3592.917184
C5T4_DNA	2	16.89	5.902825045	799512.1084
R7T4_DNA	2	NA	NA	NA
R1T5_DNA	2	NA	NA	NA
C3T1_DNA	2	12.03	7.30340607	20109722.15
R5T1_DNA	2	14.13	6.697358657	4981483.051
C4T2_DNA	2	15.58	6.279885101	1904956.668
R6T2_DNA	2	12.94	7.040425059	10975518.83
C5T3_DNA	2	13.83	6.785257442	6098983.267
R7T3_DNA	2	NA	NA	NA
C6T4_DNA	2	12.96	7.034116623	10817243.93
R8T4_DNA	2	16.00	6.159367538	1443336.312
R2T5_DNA	2	30.68	1.935661674	86.23065272
C4T1_DNA	2	12.02	7.305723901	20217334.72
R6T1_DNA	2	12.97	7.031645276	10755863.36
C5T2_DNA	2	12.63	7.127943141	13425891.75
R7T2_DNA	2	15.30	6.362304265	2303054.762
C6T3_DNA	2	16.51	6.013633451	1031890.112
R8T3_DNA	2	NA	NA	NA
R1T4_DNA	2	36.22	0.343826542	2.207123027
R9T4_DNA	2	17.12	5.836996102	687062.2734
R3T5_DNA	2	NA	NA	NA
C5T1_DNA	2	12.09	7.283891403	19226109.11
R7T1_DNA	2	12.58	7.143576348	13917984.49
C6T2_DNA	2	13.36	6.91841444	8287326.33
R8T2_DNA	2	12.27	7.233048566	17102065.52
R1T3_DNA	2	32.13	1.519706253	33.09072277
R9T3_DNA	2	17.20	5.813210826	650445.3691
R2T4_DNA	2	15.07	6.427894546	2678517.856
C1T5_DNA	2	12.76	7.092105249	12362469.96
R4T5_DNA	2	18.17	5.536101327	343638.1138
C6T1_DNA	2	12.01	7.308223507	20334032.21
R8T1_DNA	2	11.96	7.321605536	20970343.12
R1T2_DNA	2	36.43	0.282617488	1.916979588
R9T2_DNA	2	12.41	7.194024796	15632368.93
R2T3_DNA	2	36.58	0.23941924	1.735478508
C1T4_DNA	2	13.52	6.873189304	7467741.974
R3T4_DNA	2	30.75	1.917368033	82.67382543
C2T5_DNA	2	13.48	6.885631221	7684776.145
R5T5_DNA	2	NA	NA	NA
R1T1_DNA	2	26.32	3.191392467	1553.790519
R9T1_DNA	2	12.23	7.245154556	17585493.33
R2T2_DNA	2	15.35	6.347975924	2228311.615
C1T3_DNA	2	Na	NA	NA
R3T3_DNA	2	36.68	0.209061401	1.618308818
C2T4_DNA	2	13.79	6.796285173	6255833.377
R4T4_DNA	2	NA	NA	NA
C3T5_DNA	2	12.32	7.218821739	16550904.72
R6T5_DNA	2	NA	NA	NA
R2T1_DNA	2	13.93	6.755259016	5691922.99
C1T2_DNA	2	13.59	6.853498991	7136725.465
R3T2_DNA	2	NA	NA	NA
C2T3_DNA	2	16.64	5.976618199	947585.0483
R4T3_DNA	2	16.00	6.159380788	1443380.349
C3T4_DNA	2	12.23	7.243227151	17507621.59
R5T4_DNA	2	14.42	6.615699859	4127621.434
C4T5_DNA	2	11.75	7.381873908	24092058.47
R7T5_DNA	2	NA	NA	NA
R8T5_DNA	2	13.97	6.743125648	5535102.252
R9T5_DNA	2	16.87	5.910060073	812942.9572
_DNA	2	37.01	0.115560446	1.304849567
C1T1_DNA	3	14.53	6.647363743	4439803.432
R3T1_DNA	3	12.53	7.220711249	16623070.59
C2T2_DNA	3	12.80	7.141894879	13864202.06
R4T2_DNA	3	14.78	6.577499838	3780069.962
C3T3_DNA	3	13.99	6.804039315	6368531.695
R5T3_DNA	3	14.19	6.745853255	5569975.114
C4T4_DNA	3	12.28	7.292801222	19624618.44
R6T4_DNA	3	15.03	6.504809062	3197489.025
C6T5_DNA	3	12.21	7.310368583	20434714.92
C2T1_DNA	3	12.42	7.251605164	17848641.38
R4T1_DNA	3	12.69	7.174600941	14948614.45
C3T2_DNA	3	13.11	7.054860402	11346460.41
R5T2_DNA	3	12.40	7.256424726	18047818.96
C4T3_DNA	3	NA	NA	NA
R6T3_DNA	3	17.25	5.871350523	743619.0777
C5T4_DNA	3	18.42	5.537245577	344544.7028
R7T4_DNA	3	14.63	6.62025067	4171100.654
R1T5_DNA	3	18.30	5.570344064	371829.6893
